panel,global_step,suite,task_id,init_state_id,success,video_ordinal,teacher_demo_indices
original_n1000_correct,1000,libero_10,9,48,False,48,[39]
original_n1000_correct,1000,libero_10,9,49,False,49,[6]
original_n1000_correct,1000,libero_goal,3,0,False,0,[35]
original_n1000_correct,1000,libero_goal,3,1,False,1,[13]
original_n1000_correct,1000,libero_goal,3,2,False,2,[15]
original_n1000_correct,1000,libero_goal,3,3,False,3,[8]
original_n1000_correct,1000,libero_goal,3,4,False,4,[34]
original_n1000_correct,1000,libero_goal,3,5,False,5,[28]
original_n1000_correct,1000,libero_goal,3,6,False,6,[29]
original_n1000_correct,1000,libero_goal,3,7,False,7,[19]
original_n1000_correct,1000,libero_goal,3,8,False,8,[17]
original_n1000_correct,1000,libero_goal,3,9,False,9,[2]
original_n1000_correct,1000,libero_goal,3,10,False,10,[0]
original_n1000_correct,1000,libero_goal,3,11,False,11,[31]
original_n1000_correct,1000,libero_goal,3,12,False,12,[3]
original_n1000_correct,1000,libero_goal,3,13,False,13,[30]
original_n1000_correct,1000,libero_goal,3,14,False,14,[5]
original_n1000_correct,1000,libero_goal,3,15,False,15,[26]
original_n1000_correct,1000,libero_goal,3,16,False,16,[4]
original_n1000_correct,1000,libero_goal,3,17,False,17,[9]
original_n1000_correct,1000,libero_goal,3,18,False,18,[14]
original_n1000_correct,1000,libero_goal,3,19,False,19,[12]
original_n1000_correct,1000,libero_goal,3,20,False,20,[27]
original_n1000_correct,1000,libero_goal,3,21,False,21,[32]
original_n1000_correct,1000,libero_goal,3,22,False,22,[36]
original_n1000_correct,1000,libero_goal,3,23,False,23,[44]
original_n1000_correct,1000,libero_goal,3,24,False,24,[46]
original_n1000_correct,1000,libero_goal,3,25,False,25,[11]
original_n1000_correct,1000,libero_goal,3,26,False,26,[41]
original_n1000_correct,1000,libero_goal,3,27,False,27,[16]
original_n1000_correct,1000,libero_goal,3,28,False,28,[48]
original_n1000_correct,1000,libero_goal,3,29,False,29,[23]
original_n1000_correct,1000,libero_goal,3,30,False,30,[21]
original_n1000_correct,1000,libero_goal,3,31,False,31,[38]
original_n1000_correct,1000,libero_goal,3,32,False,32,[22]
original_n1000_correct,1000,libero_goal,3,33,False,33,[39]
original_n1000_correct,1000,libero_goal,3,34,False,34,[42]
original_n1000_correct,1000,libero_goal,3,35,False,35,[18]
original_n1000_correct,1000,libero_goal,3,36,False,36,[6]
original_n1000_correct,1000,libero_goal,3,37,False,37,[49]
original_n1000_correct,1000,libero_goal,3,38,False,38,[33]
original_n1000_correct,1000,libero_goal,3,39,False,39,[37]
original_n1000_correct,1000,libero_goal,3,40,False,40,[24]
original_n1000_correct,1000,libero_goal,3,41,False,41,[7]
original_n1000_correct,1000,libero_goal,3,42,False,42,[40]
original_n1000_correct,1000,libero_goal,3,43,False,43,[1]
original_n1000_correct,1000,libero_goal,3,44,False,44,[20]
original_n1000_correct,1000,libero_goal,3,45,False,45,[45]
original_n1000_correct,1000,libero_goal,3,46,False,46,[10]
original_n1000_correct,1000,libero_goal,3,47,False,47,[47]
original_n1000_correct,1000,libero_goal,3,48,False,48,[43]
original_n1000_correct,1000,libero_goal,3,49,False,49,[25]
original_n1000_correct,1000,libero_goal,6,16,False,16,[2]
original_n1000_correct,1000,libero_goal,6,19,False,19,[36]
original_n1000_correct,1000,libero_goal,6,23,False,23,[27]
original_n1000_correct,1000,libero_goal,6,25,False,25,[5]
original_n1000_correct,1000,libero_goal,6,31,False,31,[12]
original_n1000_correct,1000,libero_goal,6,34,False,34,[32]
original_n1000_correct,1000,libero_goal,6,37,False,37,[30]
original_n1000_correct,1000,libero_goal,6,39,False,39,[46]
original_n1000_correct,1000,libero_goal,6,40,False,40,[14]
original_n1000_correct,1000,libero_goal,6,43,False,43,[17]
original_n1000_correct,1000,libero_goal,6,48,False,48,[6]
original_n1000_correct,1000,libero_object,1,1,False,1,[10]
original_n1000_correct,1000,libero_object,1,2,False,2,[12]
original_n1000_correct,1000,libero_object,1,21,False,21,[28]
original_n1000_correct,1000,libero_object,1,35,False,35,[22]
original_n1000_correct,1000,libero_object,1,38,False,38,[9]
original_n1000_correct,1000,libero_object,1,40,False,40,[7]
original_n1000_correct,1000,libero_object,1,42,False,42,[27]
original_n1000_correct,1000,libero_object,6,0,False,0,[48]
original_n1000_correct,1000,libero_object,6,1,False,1,[23]
original_n1000_correct,1000,libero_object,6,2,False,2,[31]
original_n1000_correct,1000,libero_object,6,3,False,3,[0]
original_n1000_correct,1000,libero_object,6,4,False,4,[25]
original_n1000_correct,1000,libero_object,6,5,False,5,[39]
original_n1000_correct,1000,libero_object,6,6,False,6,[2]
original_n1000_correct,1000,libero_object,6,7,False,7,[20]
original_n1000_correct,1000,libero_object,6,8,False,8,[10]
original_n1000_correct,1000,libero_object,6,9,False,9,[4]
original_n1000_correct,1000,libero_object,6,10,False,10,[3]
original_n1000_correct,1000,libero_object,6,11,False,11,[22]
original_n1000_correct,1000,libero_object,6,12,False,12,[46]
original_n1000_correct,1000,libero_object,6,13,False,13,[17]
original_n1000_correct,1000,libero_object,6,14,False,14,[33]
original_n1000_correct,1000,libero_object,6,15,False,15,[8]
original_n1000_correct,1000,libero_object,6,16,False,16,[34]
original_n1000_correct,1000,libero_object,6,17,False,17,[32]
original_n1000_correct,1000,libero_object,6,18,False,18,[28]
original_n1000_correct,1000,libero_object,6,19,False,19,[19]
original_n1000_correct,1000,libero_object,6,20,False,20,[24]
original_n1000_correct,1000,libero_object,6,21,False,21,[35]
original_n1000_correct,1000,libero_object,6,22,False,22,[40]
original_n1000_correct,1000,libero_object,6,23,False,23,[12]
original_n1000_correct,1000,libero_object,6,24,False,24,[1]
original_n1000_correct,1000,libero_object,6,25,False,25,[18]
original_n1000_correct,1000,libero_object,6,26,False,26,[6]
original_n1000_correct,1000,libero_object,6,27,False,27,[14]
original_n1000_correct,1000,libero_object,6,28,False,28,[9]
original_n1000_correct,1000,libero_object,6,29,False,29,[37]
original_n1000_correct,1000,libero_object,6,30,False,30,[5]
original_n1000_correct,1000,libero_object,6,31,False,31,[30]
original_n1000_correct,1000,libero_object,6,32,False,32,[15]
original_n1000_correct,1000,libero_object,6,33,False,33,[36]
original_n1000_correct,1000,libero_object,6,34,False,34,[47]
original_n1000_correct,1000,libero_object,6,35,False,35,[49]
original_n1000_correct,1000,libero_object,6,36,False,36,[42]
original_n1000_correct,1000,libero_object,6,37,False,37,[44]
original_n1000_correct,1000,libero_object,6,38,False,38,[7]
original_n1000_correct,1000,libero_object,6,39,False,39,[11]
original_n1000_correct,1000,libero_object,6,40,False,40,[45]
original_n1000_correct,1000,libero_object,6,41,False,41,[43]
original_n1000_correct,1000,libero_object,6,42,False,42,[38]
original_n1000_correct,1000,libero_object,6,43,False,43,[41]
original_n1000_correct,1000,libero_object,6,44,False,44,[29]
original_n1000_correct,1000,libero_object,6,45,False,45,[26]
original_n1000_correct,1000,libero_object,6,46,False,46,[13]
original_n1000_correct,1000,libero_object,6,47,False,47,[27]
original_n1000_correct,1000,libero_object,6,48,False,48,[21]
original_n1000_correct,1000,libero_object,6,49,False,49,[16]
original_n1000_correct,1000,libero_spatial,3,1,False,1,[36]
original_n1000_correct,1000,libero_spatial,3,2,False,2,[43]
original_n1000_correct,1000,libero_spatial,3,3,False,3,[16]
original_n1000_correct,1000,libero_spatial,3,4,False,4,[7]
original_n1000_correct,1000,libero_spatial,3,5,False,5,[8]
original_n1000_correct,1000,libero_spatial,3,6,False,6,[14]
original_n1000_correct,1000,libero_spatial,3,7,False,7,[38]
original_n1000_correct,1000,libero_spatial,3,8,False,8,[33]
original_n1000_correct,1000,libero_spatial,3,9,False,9,[1]
original_n1000_correct,1000,libero_spatial,3,10,False,10,[21]
original_n1000_correct,1000,libero_spatial,3,11,False,11,[5]
original_n1000_correct,1000,libero_spatial,3,12,False,12,[49]
original_n1000_correct,1000,libero_spatial,3,13,False,13,[29]
original_n1000_correct,1000,libero_spatial,3,14,False,14,[24]
original_n1000_correct,1000,libero_spatial,3,16,False,16,[44]
original_n1000_correct,1000,libero_spatial,3,17,False,17,[15]
original_n1000_correct,1000,libero_spatial,3,18,False,18,[19]
original_n1000_correct,1000,libero_spatial,3,19,False,19,[39]
original_n1000_correct,1000,libero_spatial,3,20,False,20,[6]
original_n1000_correct,1000,libero_spatial,3,23,False,23,[34]
original_n1000_correct,1000,libero_spatial,3,24,False,24,[3]
original_n1000_correct,1000,libero_spatial,3,25,False,25,[45]
original_n1000_correct,1000,libero_spatial,3,26,False,26,[32]
original_n1000_correct,1000,libero_spatial,3,27,False,27,[22]
original_n1000_correct,1000,libero_spatial,3,28,False,28,[20]
original_n1000_correct,1000,libero_spatial,3,30,False,30,[9]
original_n1000_correct,1000,libero_spatial,3,31,False,31,[0]
original_n1000_correct,1000,libero_spatial,3,34,False,34,[31]
original_n1000_correct,1000,libero_spatial,3,35,False,35,[27]
original_n1000_correct,1000,libero_spatial,3,36,False,36,[17]
original_n1000_correct,1000,libero_spatial,3,37,False,37,[41]
original_n1000_correct,1000,libero_spatial,3,38,False,38,[25]
original_n1000_correct,1000,libero_spatial,3,39,False,39,[35]
original_n1000_correct,1000,libero_spatial,3,40,False,40,[46]
original_n1000_correct,1000,libero_spatial,3,41,False,41,[40]
original_n1000_correct,1000,libero_spatial,3,43,False,43,[48]
original_n1000_correct,1000,libero_spatial,3,44,False,44,[26]
original_n1000_correct,1000,libero_spatial,3,45,False,45,[11]
original_n1000_correct,1000,libero_spatial,3,46,False,46,[18]
original_n1000_correct,1000,libero_spatial,3,47,False,47,[13]
original_n1000_correct,1000,libero_spatial,3,48,False,48,[12]
original_n1000_correct,1000,libero_spatial,3,49,False,49,[37]
original_n1000_correct,1000,libero_spatial,6,0,False,0,[25]
original_n1000_correct,1000,libero_spatial,6,1,False,1,[43]
original_n1000_correct,1000,libero_spatial,6,2,False,2,[3]
original_n1000_correct,1000,libero_spatial,6,3,False,3,[26]
original_n1000_correct,1000,libero_spatial,6,4,False,4,[38]
original_n1000_correct,1000,libero_spatial,6,5,False,5,[48]
original_n1000_correct,1000,libero_spatial,6,6,False,6,[0]
original_n1000_correct,1000,libero_spatial,6,7,False,7,[46]
original_n1000_correct,1000,libero_spatial,6,8,False,8,[42]
original_n1000_correct,1000,libero_spatial,6,9,False,9,[18]
original_n1000_correct,1000,libero_spatial,6,10,False,10,[17]
original_n1000_correct,1000,libero_spatial,6,11,False,11,[8]
original_n1000_correct,1000,libero_spatial,6,12,False,12,[45]
original_n1000_correct,1000,libero_spatial,6,13,False,13,[33]
original_n1000_correct,1000,libero_spatial,6,14,False,14,[9]
original_n1000_correct,1000,libero_spatial,6,15,False,15,[12]
original_n1000_correct,1000,libero_spatial,6,16,False,16,[34]
original_n1000_correct,1000,libero_spatial,6,17,False,17,[22]
original_n1000_correct,1000,libero_spatial,6,18,False,18,[13]
original_n1000_correct,1000,libero_spatial,6,19,False,19,[27]
original_n1000_correct,1000,libero_spatial,6,20,False,20,[5]
original_n1000_correct,1000,libero_spatial,6,21,False,21,[49]
original_n1000_correct,1000,libero_spatial,6,22,False,22,[20]
original_n1000_correct,1000,libero_spatial,6,23,False,23,[19]
original_n1000_correct,1000,libero_spatial,6,24,False,24,[14]
original_n1000_correct,1000,libero_spatial,6,25,False,25,[30]
original_n1000_correct,1000,libero_spatial,6,26,False,26,[16]
original_n1000_correct,1000,libero_spatial,6,27,False,27,[7]
original_n1000_correct,1000,libero_spatial,6,28,False,28,[2]
original_n1000_correct,1000,libero_spatial,6,29,False,29,[23]
original_n1000_correct,1000,libero_spatial,6,30,False,30,[1]
original_n1000_correct,1000,libero_spatial,6,31,False,31,[15]
original_n1000_correct,1000,libero_spatial,6,32,False,32,[31]
original_n1000_correct,1000,libero_spatial,6,33,False,33,[11]
original_n1000_correct,1000,libero_spatial,6,34,False,34,[37]
original_n1000_correct,1000,libero_spatial,6,35,False,35,[21]
original_n1000_correct,1000,libero_spatial,6,36,False,36,[39]
original_n1000_correct,1000,libero_spatial,6,37,False,37,[44]
original_n1000_correct,1000,libero_spatial,6,38,False,38,[6]
original_n1000_correct,1000,libero_spatial,6,39,False,39,[32]
original_n1000_correct,1000,libero_spatial,6,40,False,40,[40]
original_n1000_correct,1000,libero_spatial,6,41,False,41,[24]
original_n1000_correct,1000,libero_spatial,6,42,False,42,[41]
original_n1000_correct,1000,libero_spatial,6,43,False,43,[10]
original_n1000_correct,1000,libero_spatial,6,44,False,44,[35]
original_n1000_correct,1000,libero_spatial,6,45,False,45,[29]
original_n1000_correct,1000,libero_spatial,6,46,False,46,[28]
original_n1000_correct,1000,libero_spatial,6,47,False,47,[36]
original_n1000_correct,1000,libero_spatial,6,48,False,48,[4]
original_n1000_correct,1000,libero_spatial,6,49,False,49,[47]
